traffic_accident_type,accident_place,accident_place_feature,vehicle_a_progress_info,vehicle_b_progress_info
0,0,0,0,0
1,0,0,1,1
2,0,0,2,2
3,0,1,3,3
4,0,2,9,4
5,0,3,4,5
6,0,4,5,6
7,0,5,6,7
8,0,5,6,8
9,0,5,7,9
10,0,5,8,1
11,0,6,9,10
12,0,6,10,11
13,0,6,11,12
14,0,7,12,10
15,0,7,13,10
16,0,8,14,13
17,0,9,4,14
18,0,9,9,15
19,0,9,6,16
20,0,9,15,17
21,1,10,16,18
22,1,10,17,19
23,1,10,18,20
24,1,10,5,21
25,1,10,19,22
26,1,10,20,23
27,1,10,21,24
28,1,10,22,25
29,1,10,23,26
30,1,10,24,23
31,1,11,25,27
32,1,11,25,28
33,1,11,26,29
34,1,11,27,30
35,1,11,28,31
36,1,11,29,32
37,1,11,30,33
38,1,11,31,34
39,1,11,32,35
40,1,11,33,27
41,1,11,34,29
42,1,11,35,30
43,1,11,36,36
44,1,12,37,37
45,1,12,37,38
46,1,12,38,39
47,1,12,39,40
48,1,12,40,41
49,1,12,41,42
50,1,12,42,43
51,1,13,4,44
52,1,14,43,45
53,1,15,44,46
54,1,15,45,47
55,1,16,9,48
56,1,16,9,49
57,1,17,46,50
58,1,8,14,13
59,1,9,25,51
60,2,18,47,52
61,2,18,48,53
62,2,18,49,53
63,2,18,50,52
64,2,18,50,54
65,2,18,51,52
66,2,18,51,55
67,2,18,51,54
68,2,18,51,56
69,2,18,52,53
70,2,18,53,53
71,2,49,169,165
72,2,49,169,166
73,2,49,170,167
74,2,49,171,168
75,2,49,171,169
76,2,49,172,170
77,2,49,173,170
78,2,49,135,146
79,2,59,174,170
80,2,60,175,52
81,2,60,175,53
82,2,60,175,74
83,2,60,176,52
84,2,60,176,53
85,2,60,176,74
86,2,60,177,52
87,2,60,177,53
88,2,60,177,74
89,2,14,133,45
90,2,5,134,55
91,2,48,5,139
92,2,48,5,140
93,2,48,138,139
94,2,48,138,140
95,2,48,139,142
96,2,48,140,143
97,2,8,14,13
98,2,50,178,171
99,2,50,144,147
100,2,50,147,150
101,2,50,148,151
102,2,50,179,172
103,2,9,47,173
104,2,9,135,14
105,2,9,99,14
106,3,10,4,45
107,3,10,19,22
108,3,10,20,23
109,3,10,24,23
110,3,11,25,28
111,3,11,25,57
112,3,11,28,31
113,3,11,29,32
114,3,11,36,36
115,3,11,54,58
116,3,11,55,28
117,3,19,37,38
118,3,19,37,59
119,3,19,38,39
120,3,19,39,60
121,3,19,41,42
122,3,19,42,43
123,4,20,56,61
124,4,20,56,62
125,4,21,56,63
126,5,22,57,64
127,5,22,57,65
128,6,23,154,66
129,6,24,58,67
130,6,24,59,68
131,6,24,60,69
132,6,24,61,70
187,13,37,88,87
188,13,37,9,88
189,13,38,9,89
190,13,39,3,90
191,13,39,3,3
192,13,40,89,91
193,13,40,90,92
194,13,41,91,1
198,13,44,93,96
